,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
S44: 0.0-5.0,1.0,1.0,0.890625,1.0,1.0,1.0,1.0,0.534375,1.0,1.0,1.0,1.0,1.0,1.0,0.0875,0.29375,1.0,1.0,1.0,0.534375,0.646875,1.0,0.128125,1.0,1.0,0.0875,1.0,0.21875,1.0,1.0,0.534375,1.0,0.196875,1.0,0.00625,1.0,0.0875,0.0875,0.86875,0.7875,0.453125,0.0875,0.0875,0.0875,0.0875,0.83125,1.0,1.0,1.0,0.534375,0.196875,0.8375,0.971875,1.0,1.0,1.0,1.0,0.534375,1.0,0.209375,1.0,1.0,1.0,0.95625,0.515625,1.0,0.940625,1.0,1.0,0.43125,0.534375,1.0,0.015625,1.0,1.0,0.434375,0.534375,0.290625,0.534375,0.534375,0.490625,1.0,0.034375,1.0,1.0,0.65625,0.1375,0.940625,1.0,1.0,1.0,0.42815934065934025,1.0912906610703041,0.8045275871572831,2.909090909090909,0.6508209828638273,3.081481481481481,0.5803540402644307,3.7376460017969455,0.3472756577792922,2.8709454796411316,0.6684607991687923,2.8709454796411316,0.6773938237574733,1.1691961776278805,0.7669613363499204,3.4323432343234317,0.6892929793233229,2.2782037239868567,0.5465698454498271,2.9714285714285715,0.6195838395456597,3.5800344234079167,0.49924962620999425,2.9949604031677466,0.6128298202887623,3.109118086696562,0.6202173609098666,1.6993464052287581,0.7359285980605427
S44: 5.0-10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.440625,1.0,1.0,1.0,1.0,1.0,1.0,0.453125,1.0,1.0,1.0,0.528125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.976304945054945,1.0,0.9883095638722389,1.0,0.9883095638722389,1.093011035207567,0.9239234307763834,1.0376652531803443,0.9612791725615282,1.0956017908875428,0.9216343155006308,1.0379241516966067,0.9611321175632934,1.0,0.988309563872239,1.0,0.988309563872239,1.0,0.988309563872239,1.0,0.988309563872239,1.0,0.988309563872239,1.094448829255459,0.9226396529664769,1.0002404424140419,0.9881650714840646,1.0,0.988309563872239
S44: 10.0-15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9894917582417583,1.0793980280228335,0.9003638364004991,1.0,0.9916969863667082,1.0,0.9916969863667082,1.0,0.9916969863667082,1.0,0.9916969863667082,1.0,0.9916969863667082,1.0,0.9916969863667082,1.0,0.9916969863667082,1.0793980280228335,0.9003638364004991,1.0,0.9916969863667082,1.0,0.9916969863667082,1.0,0.9916969863667082,1.0,0.9916969863667082,1.0,0.9916969863667082
S44: 15.0-20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9913461538461539,1.0327706057596822,0.9731461548070738,1.0,0.9960579783992238,1.0,0.9960579783992238,1.0297029702970297,0.9756075643828374,1.0,0.9960579783992238,1.0,0.9960579783992238,1.0,0.9960579783992238,1.0,0.9960579783992238,1.0327706057596822,0.9731461548070738,1.0,0.9960579783992238,1.0,0.9960579783992238,1.0,0.9960579783992238,1.0297029702970297,0.9756075643828372,1.0,0.9960579783992238
S44: 20.0-25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.365625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.68125,1.0,1.0,1.0,1.0,0.8125,1.0,0.684375,1.0,1.0,0.646875,0.65625,1.0,1.0,1.0,1.0,1.0,0.728125,0.3375,1.0,1.0,1.0,1.0,1.0,1.0,0.86875,0.678125,0.66875,1.0,0.70625,0.79375,1.0,1.0,1.0,1.0,0.859375,0.66875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.66875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.943131868131868,1.051301491028557,0.933694462482853,1.0,0.9738776561821622,1.0674878111367718,0.9322328673785711,1.1434854315557998,0.8835441536353924,1.1261505143475907,0.9001862980238093,1.1125969510564322,0.9072171652388588,1.0231185440236104,0.9589739056602409,1.0161211529066927,0.9638213007470339,1.051301491028557,0.933694462482853,1.041562343515273,0.9471328630727904,1.036889332003988,0.9501923857525643,1.0752132333936417,0.9279833164662886,1.0956017908875428,0.9094458928678074,1.0261470152935372,0.9567628873028704
S44: 25.0-30.0,1.0,1.0,1.0,1.0,0.996875,1.0,1.0,0.3375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996875,1.0,1.0,0.84375,0.7375,1.0,1.0,1.0,1.0,1.0,0.2375,0.996875,1.0,1.0,0.84375,0.809375,1.0,0.19375,1.0,1.0,0.65,0.35,1.0,1.0,0.84375,1.0,1.0,0.80625,0.56875,1.0,0.996875,1.0,1.0,0.84375,1.0,0.21875,0.153125,0.775,1.0,0.7875,0.815625,0.840625,0.996875,0.996875,0.996875,0.115625,0.778125,0.5125,0.84375,1.0,1.0,1.0,1.0,1.0,0.84375,1.0,1.0,1.0,1.0,1.0,0.84375,0.84375,0.84375,0.84375,0.84375,0.775,1.0,1.0,1.0,0.390625,1.0,1.0,1.0,1.0,1.0,0.865247252747253,1.0539650367367621,0.8975755005363057,1.0335403726708075,0.917419883139996,1.2470023980815348,0.8207715469165402,1.1960897067280047,0.8462988587740369,1.331626120358515,0.7458889248459679,1.231133471441255,0.7934847978139469,1.0791180285343709,0.8935548542157726,1.0741027627162405,0.8949472982790743,1.242904093217807,0.8122717148786216,1.069408740359897,0.8980093592091637,1.2351543942992873,0.836585657509668,1.26328575766778,0.7751974814833432,1.1981566820276497,0.8313813033920061,1.038701622971286,0.9206255331190468
S44: 30.0-35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.003125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.953125,1.0,1.0,1.0,0.54375,0.384375,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.54375,0.753125,0.971875,0.178125,1.0,1.0,0.475,0.35625,1.0,0.978125,0.54375,1.0,1.0,0.659375,0.46875,1.0,1.0,1.0,1.0,0.54375,1.0,0.059375,0.353125,0.540625,1.0,0.615625,0.75625,0.54375,1.0,0.996875,1.0,0.1375,0.53125,0.26875,0.54375,1.0,1.0,1.0,1.0,1.0,0.54375,1.0,1.0,1.0,1.0,0.725,0.54375,0.54375,0.54375,0.54375,0.54375,0.534375,1.0,1.0,1.0,0.1875,1.0,1.0,1.0,1.0,1.0,0.6985576923076925,1.980009519276535,0.7986027117437314,1.1456898925915724,0.8376055113272025,1.440443213296399,0.7658805726412302,1.4212504270584216,0.7710241315756713,1.648177496038035,0.6710339518945684,1.484653818700928,0.7235475731945061,1.2156633547632965,0.8103454302992661,1.2135355892648774,0.8033888443657451,1.9913834370512205,0.538151060699413,1.289922480620155,0.8050180704792163,1.6307330458643667,0.7258121741985771,1.477797513321492,0.7190461854763197,1.4889047959914103,0.7661439689881261,1.1930025810151994,0.8391143514246041
S44: 35.0-40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.803125,1.0,1.0,1.0,1.0,0.978125,1.0,0.609375,1.0,1.0,0.25,0.5625,1.0,1.0,1.0,1.0,1.0,0.903125,0.290625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.815625,0.503125,1.0,0.76875,0.984375,1.0,1.0,1.0,1.0,0.996875,0.5875,0.959375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9421703296703297,1.0536980749746707,0.9303629108400915,1.0,0.9732010957700774,1.0491803278688525,0.9416938740358336,1.1811470755252698,0.8504721956041947,1.1623358480022354,0.878417379130201,1.1237169097784983,0.9153961122956599,1.0213601767738767,0.9598135251417644,1.0043457267020763,0.9705704860973784,1.0536980749746707,0.9303629108400915,1.0238739847403395,0.957495744009496,1.0221130221130221,0.958510676857253,1.0544993662864386,0.9390404933960775,1.1161792326267777,0.9009808493439093,1.0327706057596822,0.9508406707066629
S44: 40.0-45.0,1.0,1.0,1.0,1.0,0.9875,1.0,1.0,0.8875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.93125,0.9875,1.0,1.0,1.0,0.359375,1.0,0.95,1.0,1.0,0.80625,0.890625,1.0,1.0,1.0,1.0,1.0,0.484375,0.83125,1.0,0.9875,1.0,1.0,1.0,1.0,0.96875,0.896875,0.765625,1.0,0.6125,0.34375,0.9875,0.9875,0.9875,0.9875,0.9625,0.728125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.68125,1.0,1.0,1.0,0.99375,1.0,1.0,1.0,1.0,1.0,0.9554945054945055,1.0097087378640777,0.9734317577750909,1.0009624639076034,0.9789277696054983,1.06312292358804,0.9332172395794611,1.0822060353798129,0.926906373521937,1.0520991401112798,0.9481369132665097,1.1366120218579234,0.8920399142583295,1.0343112879164595,0.959159506786223,1.056910569105691,0.9385349566537002,1.0097087378640777,0.9734317577750908,1.0808002078461938,0.9218881215383246,1.029193468579911,0.9607271023429018,1.0558375634517767,0.9417324612594259,1.0350833540681763,0.9578484236687128,1.0213601767738767,0.9660180595747199
S44: 45.0-50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.696875,1.0,1.0,1.0,1.0,0.0875,1.0,1.0,1.0,1.0,1.0,1.0,0.5875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.334375,1.0,0.453125,0.684375,1.0,1.0,1.0,1.0,1.0,0.315625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.384375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9385645604395607,1.0,0.9733259045238208,1.0,0.9733259045238208,1.0238739847403395,0.957727725511131,1.1715009856378484,0.8753360729164829,1.1715009856378484,0.8551057237009445,1.13506139154161,0.8806528333816984,1.0636665814369726,0.9419211330838766,1.0248829761024885,0.9574177712355876,1.0,0.9733259045238208,1.0760475944128298,0.9192396794648164,1.049709815796114,0.9352347026149115,1.0601427115188584,0.951572269446653,1.1057947900053164,0.9323645607041123,1.0757693302301525,0.9297536260913274
